rank,name,comments,author,publisher
460,国富论(上下),77955,（英）斯密 著，郭大力 王亚南 译,译林出版社
461,明朝那些事儿全集 : 图文增补版全9册（新版）,209712,当年明月 著,北京联合出版公司
462,学会管自己（歪歪兔独立成长童话）,313223,陈梦敏著，张文绮图,海豚出版社
463,书法没有秘密,1292,寇克让,北京联合出版有限公司
464,西游记 (新课标 青少版),68725,（明）吴承恩 著；张燕均，富强 改编,浙江教育出版社
465,城南旧事：一部触动千万读者灵魂的童年离骚,54500,林海音 凤凰含章 出品,江苏人民出版社
466,小读客·宝宝第一套好性格养成书：皮特猫第一辑（手工礼包版·套...,37380,[美]艾瑞克·利温、[美]詹姆斯·迪安 著；彭懿、杨玲玲 译；读客文化 出品,文汇出版社
467,美的历程（李泽厚代表名作）,127995,李泽厚,生活.读书.新知三联书店
468,林汉达中国历史故事集（珍藏版）,214969,林汉达 著,中国少年儿童出版社
469,梦的解析（软精装珍藏本）,234683,（奥）西格蒙德·弗洛伊德　著，孙名之　等译,国际文化出版公司
470,西藏生死书（布面精装版）,198828,索甲仁波切 著，新经典 出品,浙江大学出版社
471,Photoshop CC从入门到精通PS教程（全彩视频版）重印30次销售12万...,11953,唯美世界,水利水电出版社
472,红星照耀中国（青少版）人民文学出版社,242376,埃德加·斯诺 著；董乐山 译,人民文学出版社
473,十万个为什么（小学生彩绘版）,58517,蜗牛爸爸,煤炭工业出版社
474,工匠精神：向价值型员工进化——精装典藏新版，当当全国独家（团...,37449,付守永,中华工商联合出版社
475,东野圭吾：学生街的日子,3394,（日）东野圭吾,南海出版公司
476,佐贺的超级阿嬷,119104,〔日〕岛田洋七 著，陈宝莲 译,南海出版公司
477,我与地坛（纪念版）（1-9年级必读书单）,81492,史铁生,人民文学出版社
478,温馨家庭图画书--大嗓门妈妈,11181,[德]尤塔·保尔,新蕾出版社
479,将来的你，一定会感谢现在拼命的自己,351453,汤木,天津人民出版社
480,社会心理学（第11版）,70514,（美） 戴维·迈尔斯（David Myers）著，侯玉波，乐国安，张智勇 等译,人民邮电出版社
481,DK儿童百科全书系列超值礼品套装（精装全5册）（2018年全新修订版...,56574,英国DK公司　编著,中国大百科全书出版社
482,聊斋志异（中国古代灵异与志怪小说的集大成者，收录近500篇知名小...,57358,(清)蒲松龄　著，高崖子　译注,民主与建设出版社
483,巨人的陨落（通宵小说大师肯·福莱特世纪三部曲，全球读者平均三...,208969,[英]肯·福莱特(Ken Follett )  著；读客文化 出品,江苏文艺出版社
484,周恩来传（精装典藏版）,25531,(英)迪克.威尔逊,国际文化出版公司
485,自卑与超越（白岩松推荐，完整全译本未删节）,40306,阿德勒 ，杨蔚 译者，果麦文化 出品,天津人民出版社
486,卡耐基人际交往心理学 : 别输在不懂人情世故上,45465,(美) 戴尔·卡耐基著 ; 张然编译,中国国际广播出版社
487,学会爱自己（第4辑）（学会自我管理，懂得自我激励！儿童情绪管理...,13674,渡边有一（日） 安娜 沃克（澳）苏西 碧慈尔（斯）等,青岛出版社
488,托马斯和朋友宝宝睡前故事（30册）,41123,（英）HIT公司 著，童趣出版有限公司 编,人民邮电出版社
489,小猪佩奇 “我有好习惯” 行为引导系列 绘本礼盒（全10册 洗澡也...,47692,文圣教育 编写,浙江少年儿童出版社
490,少年的你，如此美丽(由超人气演员周冬雨和易烊千玺担当主演，曾国...,19723,玖月晞，白马时光 出品,百花洲文艺出版社
491,"领导力21法则:追随这些法则,人们就会追随你(团购电话010-5799338...",100655,(美)约翰C.马克斯维尔(John C.Maxwell) 著；路本福 译；读客文化 出品,文汇出版社
492,史记（精装新版，全三册）,138283,【汉】司马迁 撰，韩兆琦 评注,岳麓书社
493,如果恐龙还活着·想象力与心智成长绘本（套装四册）,29337,蒂莫西·纳普曼、萨拉·沃伯顿等 著；袁艺航 译,中信出版社
494,小鸡球球洞洞认知书：全4册 （新版）,49657,[日]入山智 著；心喜阅童书 出品；,长江少年儿童出版社
495,钢铁是怎样炼成的（新课标）非改写，更适合青少年阅读，越是艰苦...,51709,[苏]奥斯特洛夫斯基,浙江工商大学出版社
496,不能承受的生命之轻（新）,37756,米兰·昆德拉 著，许钧 译,上海译文出版社
497,小熊很忙系列（套装全16册）,30707,(英)本吉·戴维斯,中信出版社
498,当我谈跑步时，我谈些什么（2015典藏版）,97983,〔日〕村上春树 著  著，施小炜 译，新经典 出品,南海出版公司
499,围城,107969,钱钟书,人民文学出版社
500,浮生六记（全新精装纪念版，汪涵贾平凹推荐！全本全译全注，无需...,98114,沈复 著，周公度 译注，大星文化 出品，张朝晖 尧立 陆伟黎 绘，作家榜经典文库,浙江文艺出版社
